## 
## THIS LEXICON: Adapted from MPQA Subjectivity Lexicon
## Source Lexicon URL: http://mpqa.cs.pitt.edu/lexicons/subj_lexicon/
## Source Lexicon Construction: manual, semi-automatic
##
## Other Notes:  
##    The subjectivity (reliability) scores are just numeric guestimates 
##    of the strongsubj and weaksubj labels used in the original lexicon.
##          strongsubj -> reliability=1
##          weaksubj -> reliability=0.25
##
## Line Format: WORD	POLARITY	SUBJECTIVITY_SCORE
avoided	negative	0.25
avoiding	negative	0.25
avoids	negative	0.25
award	positive	0.25
awarded	positive	0.25
awarding	positive	0.25
awards	positive	0.25
awe	positive	1
awed	positive	1
awes	positive	1
awesome	positive	1
awesomely	positive	1
awesomeness	positive	1
awestricken	positive	1
awestruck	positive	1
awful	negative	1
awfully	negative	1
awfulness	negative	1
awing	positive	1
awkward	negative	1
awkwardness	negative	1
ax	negative	1
axed	negative	1
axes	negative	1
axing	negative	1
babble	negative	1
babbled	negative	1
babbles	negative	1
babbling	negative	1
back	positive	0.25
backbit	negative	1
backbite	negative	1
backbites	negative	1
backbiting	negative	1
backbitten	negative	1
backbone	positive	0.25
backbones	positive	0.25
backed	positive	0.25
backing	positive	0.25
backs	positive	0.25
backward	negative	1
backwardness	negative	1
bad	negative	1
badly	negative	1
baffle	negative	1
baffled	negative	1
bafflement	negative	1
bafflements	negative	1
baffles	negative	1
baffling	negative	1
bafflings	negative	1
bait	negative	1
baited	negative	1
baiting	negative	1
baits	negative	1
balanced	positive	0.25
balk	negative	1
balked	negative	1
balking	negative	1
balks	negative	1
banal	negative	1
banalize	negative	1
bane	negative	1
banes	negative	1
banish	negative	1
banished	negative	1
banishes	negative	1
banishing	negative	1
banishment	negative	1
banishments	negative	1
bankrupt	negative	0.25
bankrupted	negative	0.25
bankrupting	negative	0.25
bankrupts	negative	0.25
bar	negative	0.25
barbarian	negative	1
barbarians	negative	1
barbaric	negative	1
barbarically	negative	1
barbarities	negative	1
barbarity	negative	1
barbarous	negative	1
barbarously	negative	1
barely	negative	0.25
bargain	positive	1
bargained	positive	1
bargaining	positive	1
bargains	positive	1
barred	negative	0.25
barren	negative	1
barring	negative	0.25
bars	negative	0.25
baseless	negative	1
bashful	negative	1
basic	positive	0.25
bask	positive	0.25
basked	positive	0.25
basking	positive	0.25
basks	positive	0.25
bastard	negative	1
bastards	negative	1
batter	negative	0.25
battered	negative	0.25
battering	negative	0.25
batterings	negative	0.25
batters	negative	0.25
battle	negative	0.25
battle-line	negative	1
battle-lines	negative	1
battled	negative	0.25
battlefield	negative	0.25
battlefields	negative	0.25
battleground	negative	1
battlegrounds	negative	1
battles	negative	0.25
battling	negative	0.25
batty	negative	1
beacon	positive	0.25
beacons	positive	0.25
bearish	negative	0.25
beast	negative	1
beastlier	negative	1
beastliest	negative	1
beastly	negative	1
beasts	negative	1
beatified	positive	1
beatifies	positive	1
beatify	positive	1
beatifying	positive	1
beauteous	positive	1
beauties	positive	1
beautified	positive	1
beautifies	positive	1
beautiful	positive	1
beautifully	positive	1
beautify	positive	1
beautifying	positive	1
beauty	positive	1
bedlam	negative	1
bedlamite	negative	1
bedlamites	negative	1
bedlams	negative	1
befit	positive	1
befits	positive	1
befitted	positive	1
befitting	positive	1
befoul	negative	1
befouled	negative	1
befouling	negative	1
befouls	negative	1
befriend	positive	1
befriended	positive	1
befriending	positive	1
befriends	positive	1
beg	negative	1
beggar	negative	0.25
beggarly	negative	1
beggars	negative	0.25
begged	negative	1
begging	negative	1
begs	negative	1
beguile	negative	1
beguiled	negative	1
beguiles	negative	1
beguiling	negative	1
belabor	negative	1
belabored	negative	1
belaboring	negative	1
belabors	negative	1
belated	negative	0.25
beleaguer	negative	1
beleaguered	negative	1
beleaguering	negative	1
beleaguers	negative	1
belie	negative	1
belied	negative	1
belies	negative	1
believable	positive	1
belittle	negative	1
belittled	negative	1
belittles	negative	1
belittling	negative	1
bellicose	negative	1
belligerence	negative	1
belligerent	negative	1
belligerently	negative	1
belligerents	negative	1
beloved	positive	1
belying	negative	1
bemoan	negative	1
bemoaned	negative	1
bemoaning	negative	1
bemoans	negative	1
bemused	negative	1
benefactor	positive	0.25
benefactors	positive	0.25
beneficent	positive	1
beneficial	positive	1
beneficially	positive	1
beneficiaries	positive	1
beneficiary	positive	1
benefit	positive	0.25
benefits	positive	0.25
benefitted	positive	0.25
benefitting	positive	0.25
benevolence	positive	1
benevolences	positive	1
benevolent	positive	1
benign	positive	0.25
bent	negative	0.25
berate	negative	1
berated	negative	1
berates	negative	1
berating	negative	1
bereave	negative	1
bereaved	negative	1
bereavement	negative	1
bereavements	negative	1
bereaves	negative	1
bereaving	negative	1
bereft	negative	1
berserk	negative	1
beseech	negative	1
beseeched	negative	1
beseeches	negative	1
beseeching	negative	1
beset	negative	0.25
besets	negative	0.25
besetting	negative	0.25
besiege	negative	0.25
besieged	negative	0.25
besieges	negative	0.25
besieging	negative	0.25
besmirch	negative	1
besmirched	negative	1
besmirches	negative	1
besmirching	negative	1
besought	negative	1
best	positive	0.25
best-known	positive	1
best-performing	positive	1
best-selling	positive	0.25
bested	positive	1
bestial	negative	1
besting	positive	1
bests	positive	1
betray	negative	1
betrayal	negative	1
betrayals	negative	1
betrayed	negative	1
betrayer	negative	1
betrayers	negative	1
betraying	negative	1
betrays	negative	1
better	positive	0.25
better-known	positive	1
better-than-expected	positive	1
bettered	positive	0.25
bettering	positive	0.25
betters	positive	0.25
bewail	negative	1
bewailed	negative	1
bewailing	negative	1
bewails	negative	1
beware	negative	0.25
bewared	negative	0.25
bewares	negative	0.25
bewaring	negative	0.25
bewilder	negative	1
bewildered	negative	1
bewildering	negative	1
bewilderingly	negative	1
bewilderment	negative	1
bewilderments	negative	1
bewilders	negative	1
